,time_ID,datetime,close,avg_twitter_sentiment,future_close,target
0,1617145200000,2021-03-31 00:00:00,1840.46,0.204808,1919.37,1
1,1617148800000,2021-03-31 01:00:00,1858.03,0.166106,1932.38,1
2,1617152400000,2021-03-31 02:00:00,1847.62,0.15462,1939.81,1
3,1617156000000,2021-03-31 03:00:00,1839.16,0.157352,1925.4,1
4,1617159600000,2021-03-31 04:00:00,1823.17,0.15237499999999998,1922.8,1
5,1617163200000,2021-03-31 05:00:00,1824.73,0.153434,1915.92,1
6,1617166800000,2021-03-31 06:00:00,1832.24,0.156653,1909.12,1
7,1617170400000,2021-03-31 07:00:00,1852.61,0.153039,1915.25,1
8,1617174000000,2021-03-31 08:00:00,1813.89,0.149427,1926.31,1
9,1617177600000,2021-03-31 09:00:00,1807.79,0.1484,1943.27,1
10,1617181200000,2021-03-31 10:00:00,1807.81,0.153023,1937.52,1
11,1617184800000,2021-03-31 11:00:00,1800.7,0.15066500000000002,1929.24,1
12,1617188400000,2021-03-31 12:00:00,1808.83,0.15843800000000002,1920.07,1
13,1617192000000,2021-03-31 13:00:00,1815.29,0.145698,1922.0,1
14,1617195600000,2021-03-31 14:00:00,1829.05,0.137684,1934.0,1
15,1617199200000,2021-03-31 15:00:00,1834.25,0.136044,1932.05,1
16,1617202800000,2021-03-31 16:00:00,1849.09,0.136044,1944.39,1
17,1617206400000,2021-03-31 17:00:00,1846.31,0.132407,1946.17,1
18,1617210000000,2021-03-31 18:00:00,1853.07,0.132407,1940.3,1
19,1617213600000,2021-03-31 19:00:00,1891.73,0.12668800000000002,1967.29,1
20,1617217200000,2021-03-31 20:00:00,1900.63,0.134652,1974.12,1
21,1617220800000,2021-03-31 21:00:00,1939.07,0.133625,1969.75,1
22,1617224400000,2021-03-31 22:00:00,1929.99,0.139344,1963.45,1
23,1617228000000,2021-03-31 23:00:00,1903.97,0.155504,1971.62,1
24,1617231600000,2021-04-01 00:00:00,1919.37,0.161637,1968.05,1
25,1617235200000,2021-04-01 01:00:00,1932.38,0.158645,1958.16,1
26,1617238800000,2021-04-01 02:00:00,1939.81,0.158813,1995.54,1
27,1617242400000,2021-04-01 03:00:00,1925.4,0.16453199999999998,1997.06,1
28,1617246000000,2021-04-01 04:00:00,1922.8,0.16555899999999998,1996.63,1
29,1617249600000,2021-04-01 05:00:00,1915.92,0.16555899999999998,1995.37,1
30,1617253200000,2021-04-01 06:00:00,1909.12,0.164999,1990.63,1
31,1617256800000,2021-04-01 07:00:00,1915.25,0.15028699999999998,1995.81,1
32,1617260400000,2021-04-01 08:00:00,1926.31,0.141025,1994.71,1
33,1617264000000,2021-04-01 09:00:00,1943.27,0.141025,1991.31,1
34,1617267600000,2021-04-01 10:00:00,1937.52,0.141025,1995.58,1
35,1617271200000,2021-04-01 11:00:00,1929.24,0.139998,2000.22,1
36,1617274800000,2021-04-01 12:00:00,1920.07,0.13530599999999998,2005.61,1
37,1617278400000,2021-04-01 13:00:00,1922.0,0.144425,2005.0,1
38,1617282000000,2021-04-01 14:00:00,1934.0,0.138706,2007.36,1
39,1617285600000,2021-04-01 15:00:00,1932.05,0.138706,2070.02,1
40,1617289200000,2021-04-01 16:00:00,1944.39,0.149404,2073.89,1
41,1617292800000,2021-04-01 17:00:00,1946.17,0.150535,2058.72,1
