time_ID,datetime,close,avg_twitter_sentiment,future_close,target
1617145200000,2021-03-31 00:00:00,1840.46,0.177347,1919.37,1
1617148800000,2021-03-31 01:00:00,1858.03,0.19401300000000002,1932.38,1
1617152400000,2021-03-31 02:00:00,1847.62,0.19401300000000002,1939.81,1
1617156000000,2021-03-31 03:00:00,1839.16,0.200678,1925.4,1
1617159600000,2021-03-31 04:00:00,1823.17,0.20528400000000002,1922.8,1
1617163200000,2021-03-31 05:00:00,1824.73,0.201672,1915.92,1
1617166800000,2021-03-31 06:00:00,1832.24,0.189136,1909.12,1
1617170400000,2021-03-31 07:00:00,1852.61,0.189136,1915.25,1
1617174000000,2021-03-31 08:00:00,1813.89,0.189136,1926.31,1
1617177600000,2021-03-31 09:00:00,1807.79,0.184732,1943.27,1
1617181200000,2021-03-31 10:00:00,1807.81,0.18855,1937.52,1
1617184800000,2021-03-31 11:00:00,1800.7,0.19534400000000002,1929.24,1
1617188400000,2021-03-31 12:00:00,1808.83,0.19534400000000002,1920.07,1
1617192000000,2021-03-31 13:00:00,1815.29,0.19534400000000002,1922.0,1
1617195600000,2021-03-31 14:00:00,1829.05,0.198956,1934.0,1
1617199200000,2021-03-31 15:00:00,1834.25,0.198956,1932.05,1
1617202800000,2021-03-31 16:00:00,1849.09,0.202138,1944.39,1
1617206400000,2021-03-31 17:00:00,1846.31,0.202138,1946.17,1
1617210000000,2021-03-31 18:00:00,1853.07,0.20259000000000002,1940.3,1
1617213600000,2021-03-31 19:00:00,1891.73,0.20844899999999997,1967.29,1
1617217200000,2021-03-31 20:00:00,1900.63,0.211181,1974.12,1
1617220800000,2021-03-31 21:00:00,1939.07,0.211181,1969.75,1
1617224400000,2021-03-31 22:00:00,1929.99,0.21233600000000002,1963.45,1
1617228000000,2021-03-31 23:00:00,1903.97,0.21233600000000002,1971.62,1
1617231600000,2021-04-01 00:00:00,1919.37,0.21233600000000002,1968.05,1
1617235200000,2021-04-01 01:00:00,1932.38,0.21233600000000002,1958.16,1
1617238800000,2021-04-01 02:00:00,1939.81,0.21233600000000002,1995.54,1
1617242400000,2021-04-01 03:00:00,1925.4,0.201194,1997.06,1
1617246000000,2021-04-01 04:00:00,1922.8,0.201194,1996.63,1
1617249600000,2021-04-01 05:00:00,1915.92,0.201194,1995.37,1
1617253200000,2021-04-01 06:00:00,1909.12,0.199718,1990.63,1
1617256800000,2021-04-01 07:00:00,1915.25,0.199718,1995.81,1
1617260400000,2021-04-01 08:00:00,1926.31,0.199718,1994.71,1
1617264000000,2021-04-01 09:00:00,1943.27,0.197244,1991.31,1
1617267600000,2021-04-01 10:00:00,1937.52,0.194937,1995.58,1
1617271200000,2021-04-01 11:00:00,1929.24,0.206339,2000.22,1
1617274800000,2021-04-01 12:00:00,1920.07,0.20360699999999998,2005.61,1
1617278400000,2021-04-01 13:00:00,1922.0,0.20360699999999998,2005.0,1
1617282000000,2021-04-01 14:00:00,1934.0,0.21103899999999998,2007.36,1
1617285600000,2021-04-01 15:00:00,1932.05,0.21103899999999998,2070.02,1
1617289200000,2021-04-01 16:00:00,1944.39,0.21168,2073.89,1
1617292800000,2021-04-01 17:00:00,1946.17,0.197245,2058.72,1
1617296400000,2021-04-01 18:00:00,1940.3,0.190679,2054.18,1
1617300000000,2021-04-01 19:00:00,1967.29,0.19543,2054.83,1
1617303600000,2021-04-01 20:00:00,1974.12,0.199934,2062.63,1
1617307200000,2021-04-01 21:00:00,1969.75,0.197911,2091.01,1
1617310800000,2021-04-01 22:00:00,1963.45,0.19226400000000002,2091.23,1
1617314400000,2021-04-01 23:00:00,1971.62,0.195446,2110.06,1
